,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
0,619,Sergio Agüero,33,2551,26,25.270175583660603,8,5.568926602602005,148,33,4,0,F S,Manchester City,21,20.703194603323936,27.805153466761112,6.87816970795393,2014
1,647,Harry Kane,34,2589,21,17.15730034559965,4,3.9225024580955505,112,27,4,0,F M S,Tottenham,19,14.87382235378027,16.48843494337052,5.549698708578944,2014
2,802,Diego Costa,26,2111,20,15.21911308169365,3,4.554670616053045,76,41,8,0,F S,Chelsea,19,14.457944065332413,21.365789726376534,5.27697273902595,2014
3,848,Charlie Austin,35,3078,18,17.88185734860599,5,2.5487459590658545,131,23,4,1,F,Queens Park Rangers,15,14.076048335060477,13.718284981325269,3.0413201358169317,2014
4,498,Alexis Sánchez,35,2967,16,13.45174823794514,8,8.494180873036385,122,82,4,0,F M S,Arsenal,16,12.690581277944148,27.15757017582655,10.736756768077612,2014
5,502,Olivier Giroud,27,1871,14,8.84634429961443,3,3.8601363133639097,70,29,5,1,F S,Arsenal,14,8.84634429961443,13.639886705204844,4.1292465925216675,2014
6,701,Eden Hazard,38,3389,14,12.01608707383275,9,11.238891988992691,78,100,2,0,M,Chelsea,11,8.971413988620043,31.84057104587555,19.47631709650159,2014
7,811,Saido Berahino,38,2940,14,13.841749838553369,1,1.961659412831068,86,28,2,0,F M S,West Bromwich Albion,10,10.797112329863012,11.907299553975463,2.4395549008622766,2014
8,606,Christian Benteke,29,2380,13,8.455075968056917,2,2.921320070512593,80,33,1,1,F S,Aston Villa,12,7.693906951695681,8.725400181487203,2.198608998209238,2014
9,617,David Silva,32,2682,12,9.096988203004003,7,10.388411475345492,66,92,8,0,M,Manchester City,12,9.096988203004003,29.14426800608635,16.633574136532843,2014
10,629,Wayne Rooney,33,2887,12,8.902098581194878,5,3.983559735119343,79,45,5,1,F M,Manchester United,11,7.3797623217105865,15.43574684113264,7.295702296309173,2014
11,841,Graziano Pellè,38,3291,12,18.616504695266485,2,4.481623421423137,123,43,6,0,F S,Southampton,12,18.616504695266485,24.78565558232367,5.5981659553945065,2014
12,622,Wilfried Bony,30,1604,11,10.454738814383745,3,3.508293155580759,89,26,3,1,F S,"Manchester City,Swansea",10,9.69357032328844,14.252219166606665,4.4124255664646626,2014
13,648,Nacer Chadli,35,2423,11,6.8655270310118794,5,3.9355596313253045,54,41,3,0,M S,Tottenham,11,6.8655270310118794,15.642376329749823,8.626996045000851,2014
14,756,Leonardo Ulloa,37,2434,11,8.923917897045612,3,3.7919961232692003,49,36,3,0,F S,Leicester,9,7.401579953730106,9.963016589172184,2.5093697709962726,2014
15,850,Papiss Demba Cissé,22,1137,11,8.957140743732452,1,0.334677891805768,45,7,1,0,F S,Newcastle United,10,8.196008741855621,7.444709463045001,0.6167382095009089,2014
16,868,Mame Biram Diouf,34,2451,11,11.646968324668705,3,3.466141242533922,55,28,7,0,F M S,Stoke,11,11.646968324668705,13.599631811492145,0.8619846059009433,2014
17,986,Danny Ings,35,3048,11,12.289508447051048,4,4.244325045496225,97,35,6,0,F M,Burnley,10,11.528339490294456,16.558702621608973,2.825657523237169,2014
