,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
0,3277,Alexandre Lacazette,33,2860,27,18.59796054661274,6,6.063526223413646,96,53,6,0,F M,Lyon,19,11.757098719477654,19.622057039290667,6.380009217187762,2014
1,4747,André-Pierre Gignac,38,3118,21,16.70074133016169,2,2.281485792249441,124,22,3,0,F M S,Marseille,19,14.420451203361154,17.878303453326225,2.9180489871650934,2014
2,1741,Zlatan Ibrahimovic,24,2002,19,18.945742398500443,6,7.077430501580238,87,37,3,0,F S,Paris Saint Germain,11,12.104877218604088,21.294297993183136,7.169924933463335,2014
3,3294,Edinson Cavani,35,2666,18,22.860323067754507,1,1.7430237997323275,111,14,2,1,F S,Paris Saint Germain,15,20.580032106488943,25.087470583617687,5.913361266255379,2014
4,464,Max Gradel,31,2186,17,14.411359057761729,3,5.481751047074795,102,46,6,0,F M S,Saint-Etienne,13,10.61088475305587,14.291719306260347,2.279516279697418,2014
5,2502,Claudio Beauvue,36,2996,17,12.172689450904727,3,3.9643071992322803,83,30,1,0,F M S,Guingamp,11,7.612118626013398,11.970875558443367,2.36518033221364,2014
6,3261,Diego Rolan,36,2493,15,12.557041309773922,3,3.568909155204892,74,32,2,0,F M S,Bordeaux,12,10.2767568603158,14.774150177836418,3.7812248738482594,2014
7,3210,Wissam Ben Yedder,36,2890,14,11.59732124954462,3,5.408475711941719,82,55,1,0,F M S,Toulouse,12,9.317032180726528,15.236948242411017,4.522266806103289,2014
8,3667,Nabil Fekir,34,2796,13,10.633824076503515,9,6.042494786903262,88,48,7,0,F M,Lyon,13,9.873728062957525,14.780865079723299,3.109592747874558,2014
9,672,Jordan Ayew,31,2616,12,11.871489154174924,5,3.255954572930932,112,35,8,0,F S,Lorient,9,9.591202700510621,12.664956465363503,3.3441759711131454,2014
10,4694,Lucas Barrios,31,2313,11,9.533594598527998,3,3.2381250485777855,46,23,0,0,F S,Montpellier,9,6.493224558886141,12.349550837650895,3.3974891416728497,2014
11,4708,Christophe Mandanne,31,2080,11,9.070095058530569,2,1.7848103195428848,53,16,2,0,F S,Guingamp,10,8.31000005826354,10.56627656891942,1.2131423000246286,2014
12,4753,Carlos Eduardo,30,2349,10,10.040312889963388,4,3.9969219528138638,77,25,2,1,F M S,Nice,10,10.040312889963388,12.162749874405563,2.658190179616213,2014
13,4787,Mathieu Duhamel,30,2232,10,10.752322992309928,0,0.6218224950134754,73,14,1,0,F M S,"Caen,Evian Thonon Gaillard",8,9.23220101185143,9.378505989909172,0.7434163866564631,2014
14,553,Anthony Martial,35,1819,9,10.844691744074225,3,2.3954966068267822,51,12,1,0,F M S,Monaco,8,9.324500745162368,12.94192298874259,2.113694202154875,2014
15,713,André Ayew,28,2394,9,9.591964144259691,3,3.1952703688293695,52,22,6,0,D F M S,Marseille,9,9.591964144259691,14.156410358846188,6.737746065482497,2014
16,734,Wahbi Khazri,32,2395,9,7.465542929247022,5,4.779084065929055,76,48,8,0,F M S,Bordeaux,7,5.945352973416448,11.004282725974917,4.299084668979049,2014
17,1029,Modibo Maiga,25,1760,9,5.802155980840325,0,1.5840802127495408,47,25,5,0,F M S,Metz,7,4.281969832256436,6.074480468407273,1.0942509220913053,2014
18,1451,Anthony Mounier,36,3123,9,6.869161166250706,6,9.85009034909308,53,60,1,0,F M,Montpellier,8,6.109066180884838,17.391471706330776,5.028466694056988,2014
19,3230,Paul-Georges Ntep,35,2708,9,6.958617463707924,5,6.9425114914774895,63,50,5,0,F M S,Rennes,9,6.198522470891476,14.979453291743994,5.300593131221831,2014
20,3512,Nolan Roux,33,2387,9,7.157473633997142,3,3.4913209080696106,68,24,2,0,F S,Lille,8,6.397378574125469,11.305658626370132,2.7171385884284973,2014
21,3635,Bernardo Silva,32,2290,9,6.319105256348848,3,5.60375096462667,34,46,1,0,F M S,Monaco,9,6.319105256348848,15.752231527119875,6.264686540700495,2014
22,104,Mevlüt Erdinc,26,1610,8,6.426825050264597,1,0.616765895858407,40,8,1,0,F S,Saint-Etienne,7,4.906635161489248,6.225676478818059,1.8274946957826614,2014
23,484,Divock Origi,33,2149,8,9.90163473598659,3,3.5014930050820112,52,23,0,0,F M S,Lille,6,6.861247105523944,10.662329507991672,2.229854025878012,2014
24,2284,Daniel Wass,32,2472,8,5.042463032528758,5,4.157951702363789,48,37,2,1,D F M S,Evian Thonon Gaillard,7,3.5222729928791523,7.45031981356442,3.9459706228226423,2014
25,3361,Éric Bautheac,35,2588,8,7.635718713980168,5,4.173765854910016,59,44,11,0,F M S,Nice,5,5.355429799761623,11.316289968322963,4.861087555065751,2014
26,3570,Benjamin Moukandjo,31,1887,8,5.998644613660872,1,3.066583823412657,47,35,3,0,F M S,Reims,7,5.238549799658358,7.130793111398816,1.8880699090659618,2014
27,3577,Cheick Diabaté,15,1085,8,7.309981554746628,2,0.5199352726340294,36,11,0,1,F S,Bordeaux,6,5.789791561663151,6.2162577994167805,1.2125423587858677,2014
28,3643,Ezequiel Lavezzi,30,1625,8,7.559552580118179,2,4.979713648557663,34,29,2,0,F S,Paris Saint Germain,8,7.559552580118179,13.706844821572304,3.495401633903384,2014
29,4770,Yoann Touzghar,29,1901,8,6.7166064493358135,1,1.696686695329845,35,13,1,0,F M S,Lens,5,4.43632104806602,7.005107147619128,1.082966759800911,2014
30,536,Dimitri Payet,36,3073,7,4.081294592469931,16,13.184555556625128,67,129,2,0,M S,Marseille,7,4.081294592469931,21.181732282042503,13.868644089438021,2014
31,677,Jordan Veretout,36,3218,7,5.043745897710323,6,7.1627013413235545,52,72,6,0,M,Nantes,3,2.0034313052892685,8.079316982999444,5.074888589791954,2014
32,739,Ola Toivonen,30,2412,7,9.741100998595357,1,2.7062333934009075,55,28,1,0,F S,Rennes,6,8.220915699377656,11.088803492486477,2.9580666199326515,2014
33,960,Clinton N&#039;Jie,30,1518,7,8.375191988423467,7,3.3200895935297012,48,23,1,0,F M S,Lyon,7,8.375191988423467,14.162215117365122,3.5300429984927177,2014
34,1678,Michy Batshuayi,24,889,7,6.189341206103563,0,0.4497251966968179,33,9,1,0,F M S,Marseille,7,5.429246190935373,7.098175887949765,1.5990480706095695,2014
35,3245,David Ngog,28,1739,7,5.74535633251071,1,1.1880749110132456,38,13,3,0,F S,Reims,7,5.74535633251071,5.749902488663793,1.6082408921793103,2014
36,3293,Lucas Moura,29,1903,7,6.7456601448357105,5,4.546516373753548,40,41,2,0,F S,Paris Saint Germain,5,5.225470144301653,13.237925499677658,7.196310523897409,2014
37,3455,Raphael Guerreiro,34,2777,7,3.8840800626203418,3,3.649759406223893,53,43,1,0,D M S,Lorient,7,3.8840800626203418,10.075839094817638,4.285586519166827,2014
38,3460,Benjamin Jeannot,31,2238,7,7.421189535409212,3,2.4054367998614907,67,30,0,0,D F S,Lorient,6,6.661094322800636,9.04256954882294,2.1828226568177342,2014
39,3532,Herve Bazile,30,1749,7,4.7878836914896965,3,2.9531450886279345,49,29,4,0,M S,Caen,7,4.7878836914896965,8.279433015733957,1.6639312226325274,2014
40,3603,Corentin Tolisso,38,3314,7,5.569765220396221,2,1.4238333981484175,48,20,1,0,D M S,Lyon,7,5.569765220396221,15.202041625976562,11.572350987233222,2014
41,4727,Dimitar Berbatov,26,1749,7,8.592129956930876,0,1.8783993842080235,53,18,4,0,F M S,Monaco,5,7.071936514228582,9.812475310638547,2.9457934852689505,2014
42,4771,Pablo Chavarria,31,2506,7,5.84653390198946,0,2.776732986792922,52,33,4,0,F M S,Lens,7,5.84653390198946,9.04225148446858,1.909563198685646,2014
43,1582,Aleksandar Pesic,34,2086,6,7.070404656231403,6,4.193797202780843,58,28,5,0,F S,Toulouse,6,7.070404656231403,9.739279073663056,0.897523277439177,2014
44,2272,Yannick Carrasco,36,2817,6,7.2140007871203125,10,8.080856824293733,77,57,6,0,F M S,Monaco,6,7.2140007871203125,15.832020217552781,5.9314065501093864,2014
45,3211,Martin Braithwaite,34,2105,6,8.263932037167251,2,2.0119004994630814,72,15,0,0,F M S,Toulouse,6,8.263932037167251,11.379231820814312,1.623684381134808,2014
46,3237,Aissa Mandi,32,2805,6,4.306022133678198,2,2.567176314070821,22,22,3,0,D,Reims,6,4.306022133678198,6.967838590964675,5.067040549591184,2014
47,3243,Gaëtan Charbonnier,33,2423,6,6.645490831695497,5,3.4692415548488498,55,32,9,0,F M S,Reims,4,5.125298834405839,10.83673937432468,4.975138520821929,2014
48,3328,Floyd Ayité,30,2338,6,3.513706710189581,2,3.020284323953092,55,28,4,0,F M S,SC Bastia,6,3.513706710189581,6.143291769549251,1.577999895438552,2014
49,3406,Emiliano Sala,24,1266,6,5.450778849422932,1,0.769277386367321,30,8,2,0,F M S,"Bordeaux,Caen",4,3.930588848888874,4.050631660968065,0.43996821250766516,2014
50,3478,Sloan Privat,20,980,6,5.9156698659062386,1,0.9310686951503158,40,9,1,0,F S,Caen,6,5.9156698659062386,4.586867148987949,0.8935751039534807,2014
51,3696,Morgan Sanson,32,2744,6,5.530182627029717,3,3.7989778965711594,44,37,3,0,F M S,Montpellier,6,5.530182627029717,13.26629875972867,6.485042715445161,2014
52,942,Florian Thauvin,36,2609,5,7.032390709966421,4,4.596997491084039,70,54,2,0,D F M S,Marseille,5,7.032390709966421,13.831909116357565,4.836705055087805,2014
53,1012,Ricky van Wolfswinkel,28,1612,5,5.454168071970344,4,1.9443990038707852,31,12,2,0,F S,Saint-Etienne,5,5.454168071970344,6.250703725963831,0.5498764980584383,2014
54,3228,Giovanni Sio,13,811,5,2.510236607864499,0,0.5407335087656975,20,8,2,1,F M S,SC Bastia,5,2.510236607864499,2.574869018048048,0.2276895008981228,2014
55,3295,Javier Pastore,34,2764,5,5.048612382262945,12,9.311668664216995,43,53,4,0,F M S,Paris Saint Germain,5,5.048612382262945,28.000179678201675,18.12333591748029,2014
56,3343,Ryad Boudebouz,34,2831,5,5.019434918649495,3,3.0580126075074077,37,50,3,0,F M S,SC Bastia,1,1.9790554074570537,8.125069098547101,5.476349273696542,2014
57,3527,Julien Féret,37,2923,5,3.0112998010590672,5,4.6414368115365505,34,64,3,0,M S,Caen,3,1.4911094130948186,12.034178048372269,7.985823810100555,2014
58,4716,Clarck N&#039;Sikulu,28,1805,5,5.90234505943954,1,1.2684686910361052,39,11,2,0,F M S,Evian Thonon Gaillard,5,5.90234505943954,7.8418499156832695,1.412024600431323,2014
59,4738,Yeni N&#039;Gbakoto,30,1880,5,5.668635934591293,1,1.1844606981612742,53,24,2,1,F M S,Metz,1,2.6283827498555183,3.823321148753166,1.916142599657178,2014
60,4758,Alexy Bosetti,27,1219,5,3.866454180330038,1,1.206342214718461,31,14,3,0,F M S,Nice,5,3.866454180330038,6.385300926864147,2.0034418292343616,2014
61,668,Idrissa Gueye,32,2734,4,1.981405639089644,2,1.328392612747848,35,30,4,0,M S,Lille,4,1.981405639089644,8.734484946355224,7.012296389788389,2014
62,961,Jordan Amavi,36,3235,4,1.3704824205487967,0,3.365266046486795,17,32,11,0,D,Nice,4,1.3704824205487967,6.2291820254176855,3.772237716242671,2014
63,2998,Yohan Mollo,23,1146,4,1.929027403704822,1,2.0262045841664076,27,34,4,0,F M S,Saint-Etienne,4,1.929027403704822,3.9670861857011914,1.678791904821992,2014
64,3208,Óscar Trejo,31,2135,4,2.4995767027139664,3,2.5995144471526146,31,27,4,0,M S,Toulouse,4,2.4995767027139664,6.5116632003337145,2.874598518013954,2014
65,3242,Diego,31,2376,4,3.6095865154638886,8,7.782880699262023,55,57,3,0,F M S,Reims,4,3.6095865154638886,10.121055430732667,5.132736566476524,2014
66,3291,Adrien Rabiot,20,1120,4,2.1861709021031857,1,1.5998509842902422,17,11,1,0,M S,Paris Saint Germain,4,2.1861709021031857,8.84215808659792,6.8272731229662895,2014
67,3296,Blaise Matuidi,34,2190,4,2.8899512346833944,2,2.6587787568569183,24,21,2,0,M S,Paris Saint Germain,4,2.8899512346833944,15.032572042196989,10.927687101066113,2014
68,3309,Valère Germain,29,819,4,3.273599569685757,1,1.3670018836855888,22,9,0,0,F M S,Monaco,4,3.273599569685757,5.625414185225964,1.8352979142218828,2014
69,3333,Francois Kamano,24,1501,4,3.7552436953410506,3,2.0817224755883217,35,15,3,1,F M S,SC Bastia,4,3.7552436953410506,5.955293926410377,1.167400524020195,2014
70,3342,Kévin Berigaud,33,2185,4,5.687991973012686,4,1.4171387795358896,48,22,3,0,F M S,Montpellier,4,5.687991973012686,7.478187784552574,1.1318968087434769,2014
71,3368,Junior Tallo,16,953,4,4.194200612604618,0,0.1863700021058321,26,5,4,0,F S,SC Bastia,3,3.4341056421399117,2.825006779283285,0.4768815040588379,2014
72,3410,Yacine Bammou,37,2295,4,7.141566968522966,3,1.715508739463985,70,23,3,0,F M S,Nantes,4,7.141566968522966,9.996480390429497,2.1967871952801943,2014
