Unnamed: 0,id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l
0,11023,True,2019-07-12 17:00:00,200,Arsenal Tula,ARS,190,Dinamo Moscow,DIN,1,1,1.50584,0.9734309999999999,0.5227,0.2713,0.20600000000000002
1,11024,True,2019-07-13 13:30:00,198,Ural,URA,184,FC Ufa,UFA,3,2,1.21141,1.6528200000000002,0.2369,0.2746,0.4885
2,11025,True,2019-07-13 16:00:00,183,Spartak Moscow,SPA,236,PFC Sochi,SOC,1,0,0.892691,1.8067400000000002,0.1289,0.2366,0.6345
3,11026,True,2019-07-13 18:30:00,187,FC Rostov,ROS,199,FC Orenburg,ORE,2,1,0.7687189999999999,0.704867,0.3289,0.3732,0.2979
4,11027,True,2019-07-14 13:30:00,194,Krylya Sovetov Samara,KSS,185,CSKA Moscow,CSK,2,0,1.20929,0.9491879999999999,0.4487,0.3067,0.2446
5,11028,True,2019-07-14 16:00:00,189,Zenit St. Petersburg,ZEN,237,FC Tambov,TAM,2,1,1.36875,0.316317,0.6885,0.242,0.0695
6,11029,True,2019-07-14 18:30:00,188,FK Akhmat,AKH,196,FC Krasnodar,KRA,1,0,2.16377,1.03562,0.6723,0.2039,0.1238
7,11030,True,2019-07-15 17:00:00,192,Lokomotiv Moscow,LOK,186,Rubin Kazan,RUB,1,1,2.41852,1.1723700000000001,0.701,0.1842,0.1148
8,11031,True,2019-07-20 11:00:00,184,FC Ufa,UFA,196,FC Krasnodar,KRA,2,3,1.12735,1.7705,0.2174,0.2449,0.5377
9,11032,True,2019-07-20 13:30:00,194,Krylya Sovetov Samara,KSS,200,Arsenal Tula,ARS,2,3,1.16054,1.24534,0.3283,0.3122,0.3595
10,11033,True,2019-07-20 16:00:00,185,CSKA Moscow,CSK,199,FC Orenburg,ORE,2,1,1.5124799999999998,0.784283,0.5471,0.278,0.1749
11,11034,True,2019-07-20 18:30:00,187,FC Rostov,ROS,183,Spartak Moscow,SPA,2,2,2.57037,1.78371,0.5713,0.21600000000000003,0.2127
12,11035,True,2019-07-21 11:00:00,198,Ural,URA,188,FK Akhmat,AKH,3,0,2.44508,1.42343,0.6462,0.2113,0.1425
13,11036,True,2019-07-21 13:30:00,192,Lokomotiv Moscow,LOK,237,FC Tambov,TAM,2,1,1.17162,0.767953,0.4541,0.3209,0.225
14,11037,True,2019-07-21 16:00:00,190,Dinamo Moscow,DIN,186,Rubin Kazan,RUB,0,1,2.51832,1.23967,0.6869,0.1898,0.1233
15,11038,True,2019-07-21 18:30:00,236,PFC Sochi,SOC,189,Zenit St. Petersburg,ZEN,0,2,0.45196499999999995,3.4953199999999995,0.0084,0.0327,0.9589
16,11039,True,2019-07-26 17:00:00,190,Dinamo Moscow,DIN,198,Ural,URA,2,0,1.6963599999999999,0.651191,0.6521,0.2311,0.1168
17,11040,True,2019-07-27 11:00:00,184,FC Ufa,UFA,194,Krylya Sovetov Samara,KSS,2,1,0.93685,0.947916,0.3227,0.3375,0.3398
18,11041,True,2019-07-27 13:30:00,237,FC Tambov,TAM,183,Spartak Moscow,SPA,2,0,1.73925,0.8426379999999999,0.6281,0.2312,0.1407
19,11042,True,2019-07-27 16:00:00,196,FC Krasnodar,KRA,236,PFC Sochi,SOC,3,0,2.78278,0.636108,0.8688,0.0947,0.0365
20,11043,True,2019-07-28 11:00:00,199,FC Orenburg,ORE,189,Zenit St. Petersburg,ZEN,0,2,1.95859,2.0503299999999998,0.3444,0.2616,0.39399999999999996
21,11044,True,2019-07-28 13:30:00,200,Arsenal Tula,ARS,187,FC Rostov,ROS,2,3,1.1473,1.26099,0.3259,0.2808,0.3933
22,11045,True,2019-07-28 16:00:00,185,CSKA Moscow,CSK,192,Lokomotiv Moscow,LOK,1,0,1.22167,0.6622939999999999,0.537,0.3116,0.1514
23,11046,True,2019-07-29 17:00:00,186,Rubin Kazan,RUB,188,FK Akhmat,AKH,1,0,1.4506700000000001,0.7974399999999999,0.5432,0.2735,0.1833
24,11047,True,2019-08-03 12:00:00,198,Ural,URA,187,FC Rostov,ROS,2,2,1.6608,2.14413,0.2834,0.226,0.4906
25,11048,True,2019-08-03 14:30:00,194,Krylya Sovetov Samara,KSS,192,Lokomotiv Moscow,LOK,1,2,1.0510700000000002,3.06176,0.0405,0.1079,0.8516
26,11049,True,2019-08-03 17:00:00,183,Spartak Moscow,SPA,190,Dinamo Moscow,DIN,0,0,0.580905,0.844036,0.2412,0.3631,0.3957
27,11050,True,2019-08-03 19:30:00,189,Zenit St. Petersburg,ZEN,196,FC Krasnodar,KRA,1,1,1.6884099999999997,0.180588,0.8083,0.1648,0.0269
28,11051,True,2019-08-04 14:30:00,237,FC Tambov,TAM,200,Arsenal Tula,ARS,0,1,0.594033,1.0036,0.1857,0.32899999999999996,0.4853
29,11052,True,2019-08-04 17:00:00,186,Rubin Kazan,RUB,185,CSKA Moscow,CSK,0,1,1.03403,1.2226,0.2904,0.3009,0.4087
30,11053,True,2019-08-04 19:30:00,236,PFC Sochi,SOC,184,FC Ufa,UFA,0,0,0.745677,0.314473,0.4613,0.4092,0.1295
31,11054,True,2019-08-05 18:00:00,188,FK Akhmat,AKH,199,FC Orenburg,ORE,2,1,0.53833,0.372463,0.3179,0.4814,0.2007
32,11055,True,2019-08-10 12:00:00,199,FC Orenburg,ORE,237,FC Tambov,TAM,2,2,1.96059,1.0368700000000002,0.6095,0.2229,0.1676
33,11056,True,2019-08-10 17:00:00,196,FC Krasnodar,KRA,186,Rubin Kazan,RUB,1,0,2.06893,0.9737879999999999,0.6693,0.21600000000000003,0.1147
34,11057,True,2019-08-10 17:00:00,190,Dinamo Moscow,DIN,189,Zenit St. Petersburg,ZEN,0,2,0.87339,1.80941,0.1444,0.2277,0.6279
35,11058,True,2019-08-11 12:00:00,200,Arsenal Tula,ARS,184,FC Ufa,UFA,1,0,1.0268,0.608228,0.4628,0.3335,0.2037
36,11059,True,2019-08-11 14:30:00,192,Lokomotiv Moscow,LOK,198,Ural,URA,4,0,4.59167,0.902241,0.9707,0.0238,0.0055
37,11060,True,2019-08-11 17:00:00,185,CSKA Moscow,CSK,236,PFC Sochi,SOC,0,0,0.663134,0.709087,0.2676,0.3936,0.3388
38,11061,True,2019-08-11 19:30:00,188,FK Akhmat,AKH,183,Spartak Moscow,SPA,1,3,1.01237,0.800104,0.4079,0.3397,0.2524
39,11062,True,2019-08-12 18:00:00,187,FC Rostov,ROS,194,Krylya Sovetov Samara,KSS,1,0,1.2150100000000001,0.410793,0.5985,0.2901,0.1114
40,11063,True,2019-08-16 16:00:00,199,FC Orenburg,ORE,236,PFC Sochi,SOC,1,1,0.9560930000000001,1.15442,0.2539,0.342,0.4041
41,11064,True,2019-08-17 12:00:00,198,Ural,URA,194,Krylya Sovetov Samara,KSS,1,3,0.887251,1.9545599999999999,0.1237,0.2088,0.6675
42,11065,True,2019-08-17 14:30:00,237,FC Tambov,TAM,196,FC Krasnodar,KRA,0,2,0.402856,1.1937200000000001,0.1127,0.2987,0.5886
43,11066,True,2019-08-17 17:00:00,189,Zenit St. Petersburg,ZEN,188,FK Akhmat,AKH,0,0,2.90532,0.414236,0.9234,0.0619,0.0147
44,11067,True,2019-08-18 12:00:00,186,Rubin Kazan,RUB,200,Arsenal Tula,ARS,1,0,0.981768,0.9707549999999999,0.341,0.3262,0.3328
45,11068,True,2019-08-18 14:30:00,184,FC Ufa,UFA,187,FC Rostov,ROS,2,0,0.9003950000000001,0.809611,0.3538,0.3474,0.2988
46,11069,True,2019-08-18 17:00:00,190,Dinamo Moscow,DIN,192,Lokomotiv Moscow,LOK,1,2,0.48497299999999993,2.34859,0.0366,0.1067,0.8567
47,11070,True,2019-08-19 18:00:00,183,Spartak Moscow,SPA,185,CSKA Moscow,CSK,2,1,2.18446,1.30039,0.5978,0.2328,0.1694
48,11071,True,2019-08-24 12:00:00,237,FC Tambov,TAM,190,Dinamo Moscow,DIN,0,2,0.8282,1.43116,0.1997,0.2724,0.5279
49,11072,True,2019-08-24 14:30:00,184,FC Ufa,UFA,189,Zenit St. Petersburg,ZEN,1,0,1.0643,1.54003,0.2425,0.2696,0.4879
50,11073,True,2019-08-24 17:00:00,196,FC Krasnodar,KRA,192,Lokomotiv Moscow,LOK,1,1,1.15089,0.661157,0.4863,0.3102,0.2035
51,11075,True,2019-08-25 14:30:00,185,CSKA Moscow,CSK,188,FK Akhmat,AKH,3,0,2.40643,0.6601859999999999,0.8035,0.1472,0.0493
52,11074,True,2019-08-25 17:00:00,194,Krylya Sovetov Samara,KSS,183,Spartak Moscow,SPA,1,2,1.08984,1.8027799999999998,0.1858,0.2659,0.5483
53,11076,True,2019-08-25 17:00:00,187,FC Rostov,ROS,186,Rubin Kazan,RUB,2,1,1.47599,0.47922,0.6231,0.2675,0.1094
54,11077,True,2019-08-25 19:30:00,200,Arsenal Tula,ARS,199,FC Orenburg,ORE,2,1,0.488713,1.19685,0.1275,0.2938,0.5787
55,11078,True,2019-08-26 16:00:00,198,Ural,URA,236,PFC Sochi,SOC,3,1,2.44765,1.20384,0.7119,0.2012,0.0869
56,11079,True,2019-08-30 18:00:00,194,Krylya Sovetov Samara,KSS,190,Dinamo Moscow,DIN,0,0,0.625301,1.3511,0.1398,0.2715,0.5887
57,11080,True,2019-08-31 09:30:00,184,FC Ufa,UFA,199,FC Orenburg,ORE,1,2,1.21165,1.82723,0.1746,0.2775,0.5479
58,11081,True,2019-08-31 12:00:00,186,Rubin Kazan,RUB,236,PFC Sochi,SOC,0,3,1.17139,3.20643,0.0653,0.1165,0.8182
59,11082,True,2019-08-31 14:30:00,192,Lokomotiv Moscow,LOK,187,FC Rostov,ROS,1,2,2.17999,1.8806599999999998,0.4586,0.2366,0.3048
60,11083,True,2019-08-31 17:00:00,188,FK Akhmat,AKH,237,FC Tambov,TAM,1,1,0.861492,0.14843599999999998,0.5365,0.4073,0.0562
61,11084,True,2019-09-01 12:00:00,198,Ural,URA,196,FC Krasnodar,KRA,2,4,0.798248,1.32806,0.2137,0.2924,0.4939
62,11085,True,2019-09-01 14:30:00,200,Arsenal Tula,ARS,185,CSKA Moscow,CSK,1,2,0.617681,2.09138,0.0877,0.1705,0.7418
63,11086,True,2019-09-01 17:00:00,183,Spartak Moscow,SPA,189,Zenit St. Petersburg,ZEN,0,1,0.639681,0.9013959999999999,0.2358,0.3541,0.4101
64,11090,True,2019-09-13 17:00:00,189,Zenit St. Petersburg,ZEN,200,Arsenal Tula,ARS,3,1,3.4725900000000003,0.760863,0.9307,0.0534,0.0159
65,11091,True,2019-09-14 13:30:00,183,Spartak Moscow,SPA,198,Ural,URA,1,2,0.839131,0.652485,0.38299999999999995,0.3586,0.2584
66,11087,True,2019-09-14 16:00:00,236,PFC Sochi,SOC,192,Lokomotiv Moscow,LOK,0,1,0.696383,1.50506,0.1525,0.2544,0.5931
67,11094,True,2019-09-15 11:00:00,199,FC Orenburg,ORE,186,Rubin Kazan,RUB,2,1,3.47435,1.0724200000000002,0.8706,0.0896,0.0398
68,11088,True,2019-09-15 13:30:00,237,FC Tambov,TAM,185,CSKA Moscow,CSK,0,2,0.51095,1.8874,0.0608,0.1701,0.7691
69,11093,True,2019-09-15 16:00:00,196,FC Krasnodar,KRA,194,Krylya Sovetov Samara,KSS,4,2,1.94209,2.40543,0.2323,0.2577,0.51
70,11089,True,2019-09-16 17:00:00,190,Dinamo Moscow,DIN,184,FC Ufa,UFA,0,0,2.34021,0.658613,0.7927,0.1479,0.0594
71,11092,True,2019-09-16 17:30:00,187,FC Rostov,ROS,188,FK Akhmat,AKH,2,1,1.6367200000000002,0.8960020000000001,0.551,0.3433,0.1057
72,11099,True,2019-09-20 14:30:00,184,FC Ufa,UFA,183,Spartak Moscow,SPA,1,0,0.920475,2.44372,0.0778,0.1478,0.7744
73,11097,True,2019-09-21 11:00:00,188,FK Akhmat,AKH,194,Krylya Sovetov Samara,KSS,1,1,1.5082200000000001,2.58573,0.139,0.2027,0.6583
74,11095,True,2019-09-21 16:00:00,237,FC Tambov,TAM,187,FC Rostov,ROS,2,1,2.29276,1.73111,0.5197,0.2459,0.2344
75,11102,True,2019-09-21 16:00:00,189,Zenit St. Petersburg,ZEN,186,Rubin Kazan,RUB,5,0,3.67424,0.2166,0.9893,0.0099,0.0008
