Unnamed: 0,id,fid,h,a,date,league_id,season,h_goals,a_goals,team_h,team_a,h_xg,a_xg,h_w,h_d,h_l,league,h_shot,a_shot,h_shotOnTarget,a_shotOnTarget,h_deep,a_deep,a_ppda,h_ppda
0,16136,1549224,187,190,2021-07-23 19:00:00,6,2021,0,2,FC Rostov,Dinamo Moscow,0.711845,1.8787900000000002,0.1021,0.2013,0.6966,RFPL,12,17,3,9,3,7,10.2273,9.4211
1,16137,1549231,257,189,2021-07-24 16:30:00,6,2021,1,3,Khimki,Zenit St. Petersburg,1.66051,3.12122,0.1175,0.1698,0.7127,RFPL,17,13,6,7,2,14,13.1818,12.2
2,16138,1549227,192,200,2021-07-24 19:00:00,6,2021,3,1,Lokomotiv Moscow,Arsenal Tula,1.5372700000000001,0.421828,0.6973,0.2273,0.0754,RFPL,15,5,6,1,14,2,27.2143,3.1818
3,16139,1549228,186,183,2021-07-24 19:00:00,6,2021,1,0,Rubin Kazan,Spartak Moscow,0.457284,1.0462799999999999,0.1459,0.3428,0.5113,RFPL,8,13,5,5,0,12,7.6667,13.5
4,16140,1549230,198,196,2021-07-25 14:30:00,6,2021,0,3,Ural,FC Krasnodar,1.1805700000000001,2.21674,0.1257,0.2198,0.6545,RFPL,8,17,3,6,4,6,10.0,14.25
5,16141,1549225,194,188,2021-07-25 16:00:00,6,2021,1,2,Krylya Sovetov Samara,FK Akhmat,1.31554,2.2500299999999998,0.1562,0.2152,0.6286,RFPL,16,14,3,6,6,9,15.619,7.6471
6,16142,1549226,185,184,2021-07-25 17:00:00,6,2021,1,0,CSKA Moscow,FC Ufa,1.9108599999999998,1.39992,0.4963,0.2522,0.2515,RFPL,23,15,6,2,10,12,22.6,20.5385
7,16143,1549229,263,236,2021-07-26 16:00:00,6,2021,1,0,Nizhny Novgorod,PFC Sochi,0.46204300000000004,0.568304,0.2414,0.4522,0.3064,RFPL,7,21,2,4,2,8,10.3333,16.1333
8,16144,1549234,194,183,2021-07-30 16:00:00,6,2021,0,1,Krylya Sovetov Samara,Spartak Moscow,0.276455,2.5853599999999997,0.0124,0.065,0.9226,RFPL,8,18,0,5,5,4,16.3333,13.8889
9,16145,1549237,200,186,2021-07-30 16:00:00,6,2021,0,3,Arsenal Tula,Rubin Kazan,1.0823,2.04604,0.1584,0.2168,0.6248,RFPL,18,20,8,6,13,7,20.2222,11.0833
10,16146,1549238,184,190,2021-07-31 14:30:00,6,2021,2,3,FC Ufa,Dinamo Moscow,0.816605,2.8084700000000002,0.0344,0.1079,0.8577,RFPL,9,19,4,7,3,6,14.8947,10.875
11,16147,1549235,185,192,2021-07-31 17:00:00,6,2021,1,2,CSKA Moscow,Lokomotiv Moscow,0.644634,1.42145,0.14300000000000002,0.2584,0.5986,RFPL,16,15,4,4,7,5,9.6,16.3158
12,16148,1549239,198,263,2021-08-01 14:30:00,6,2021,1,1,Ural,Nizhny Novgorod,1.08859,1.00805,0.3475,0.3459,0.3066,RFPL,10,9,4,1,2,4,14.4,8.0
13,16149,1549232,187,189,2021-08-01 17:00:00,6,2021,2,4,FC Rostov,Zenit St. Petersburg,2.26563,2.85415,0.2515,0.2368,0.5117,RFPL,13,18,3,8,3,10,7.9615,21.2727
14,16150,1549233,196,257,2021-08-01 17:00:00,6,2021,0,1,FC Krasnodar,Khimki,2.2873,1.10117,0.6932,0.1873,0.1195,RFPL,11,14,5,8,10,6,8.6667,3.2
15,16151,1549236,188,236,2021-08-02 17:00:00,6,2021,1,2,FK Akhmat,PFC Sochi,0.864762,1.71507,0.1306,0.2386,0.6308,RFPL,19,14,3,7,10,6,10.7143,9.5294
16,16152,1549246,184,192,2021-08-06 14:00:00,6,2021,1,1,FC Ufa,Lokomotiv Moscow,1.45741,0.449925,0.685,0.2391,0.0759,RFPL,12,9,4,3,3,6,17.2308,9.7619
17,16153,1549240,189,196,2021-08-07 14:00:00,6,2021,3,2,Zenit St. Petersburg,FC Krasnodar,0.996821,1.7075900000000002,0.1668,0.2595,0.5737,RFPL,9,19,6,4,7,7,8.0476,23.3333
18,16154,1549245,200,194,2021-08-07 14:30:00,6,2021,2,1,Arsenal Tula,Krylya Sovetov Samara,0.820357,1.9831,0.1099,0.2052,0.6849,RFPL,13,20,5,2,8,22,8.8889,33.4444
19,16155,1549241,183,263,2021-08-07 17:00:00,6,2021,1,2,Spartak Moscow,Nizhny Novgorod,1.3104799999999999,0.9036559999999999,0.4457,0.3179,0.2364,RFPL,22,5,6,3,11,0,38.125,3.1364
20,16156,1549247,257,187,2021-08-08 14:30:00,6,2021,1,1,Khimki,FC Rostov,1.1564299999999998,0.524774,0.5815,0.2959,0.1226,RFPL,11,10,3,5,12,4,18.1667,10.6957
21,16157,1549244,186,188,2021-08-08 17:00:00,6,2021,2,1,Rubin Kazan,FK Akhmat,0.411329,1.1772200000000002,0.1135,0.3034,0.5831,RFPL,10,12,5,6,2,7,13.35,7.1765
22,16158,1549242,190,185,2021-08-08 17:00:00,6,2021,2,1,Dinamo Moscow,CSKA Moscow,2.3706400000000003,0.32655,0.9074,0.0773,0.0153,RFPL,20,8,6,3,6,4,15.6154,15.6842
23,16159,1549243,236,198,2021-08-09 16:00:00,6,2021,2,0,PFC Sochi,Ural,1.68503,0.480659,0.7358,0.1999,0.0643,RFPL,14,11,2,2,8,5,14.7059,11.3846
24,16160,1549248,183,198,2021-08-14 14:30:00,6,2021,1,0,Spartak Moscow,Ural,1.1382,0.216952,0.6317,0.3098,0.0585,RFPL,12,8,6,1,11,3,7.36,10.4583
25,16161,1549255,263,184,2021-08-14 14:30:00,6,2021,1,2,Nizhny Novgorod,FC Ufa,1.6605400000000001,1.49607,0.387,0.2957,0.3173,RFPL,15,10,4,6,5,7,26.6667,12.5
26,16162,1549249,187,185,2021-08-14 17:00:00,6,2021,1,3,FC Rostov,CSKA Moscow,0.646167,1.21754,0.1749,0.2983,0.5268,RFPL,15,13,4,8,5,3,20.0,19.1875
27,16163,1549252,188,190,2021-08-14 17:00:00,6,2021,2,1,FK Akhmat,Dinamo Moscow,0.993975,0.930477,0.3686,0.324,0.3074,RFPL,8,18,4,2,1,7,4.6757,27.2
28,16164,1549251,192,189,2021-08-15 14:30:00,6,2021,1,1,Lokomotiv Moscow,Zenit St. Petersburg,1.18052,1.44212,0.2379,0.3447,0.4174,RFPL,10,12,3,4,6,5,7.8889,14.6
29,16165,1549254,186,194,2021-08-15 17:00:00,6,2021,1,1,Rubin Kazan,Krylya Sovetov Samara,0.467397,1.01432,0.1519,0.3337,0.5144,RFPL,12,10,2,4,12,4,10.5833,7.4583
30,16166,1549250,196,200,2021-08-15 17:00:00,6,2021,3,2,FC Krasnodar,Arsenal Tula,3.1636900000000003,0.904383,0.8761,0.0923,0.0316,RFPL,25,9,11,4,27,1,22.5385,13.0625
31,16167,1549253,236,257,2021-08-16 16:00:00,6,2021,3,0,PFC Sochi,Khimki,1.6570900000000002,0.46409700000000004,0.7205,0.2029,0.0766,RFPL,10,10,6,2,10,7,13.6667,29.5556
32,16169,1549257,185,188,2021-08-21 13:00:00,6,2021,2,0,CSKA Moscow,FK Akhmat,1.74445,0.283227,0.8383,0.1367,0.025,RFPL,18,6,6,0,6,2,46.0,6.5882
33,16171,1549259,200,183,2021-08-21 13:00:00,6,2021,1,1,Arsenal Tula,Spartak Moscow,0.37101999999999996,1.1299700000000001,0.1152,0.32,0.5648,RFPL,11,21,4,7,0,8,7.0,7.7083
34,16168,1549262,198,190,2021-08-21 15:00:00,6,2021,0,1,Ural,Dinamo Moscow,0.0677464,2.33137,0.005,0.0881,0.9069,RFPL,2,28,0,8,3,10,6.7727,23.6364
35,16170,1549261,184,189,2021-08-21 15:00:00,6,2021,1,1,FC Ufa,Zenit St. Petersburg,0.505235,1.9747700000000001,0.0657,0.1702,0.7641,RFPL,12,19,5,6,10,16,21.8571,20.6875
36,16175,1549256,194,236,2021-08-21 17:00:00,6,2021,1,0,Krylya Sovetov Samara,PFC Sochi,1.38581,0.292247,0.7407,0.2109,0.0484,RFPL,8,9,3,3,2,10,11.3529,69.8
37,16174,1549258,192,196,2021-08-22 13:00:00,6,2021,2,1,Lokomotiv Moscow,FC Krasnodar,0.776008,0.888149,0.2976,0.3494,0.353,RFPL,7,18,6,4,1,14,5.9375,23.2143
38,16172,1549260,263,187,2021-08-22 15:00:00,6,2021,1,2,Nizhny Novgorod,FC Rostov,0.178674,0.580155,0.0913,0.5124,0.3963,RFPL,7,14,1,4,3,2,7.6897,17.875
39,16173,1549263,257,186,2021-08-22 17:00:00,6,2021,1,1,Khimki,Rubin Kazan,1.2947899999999999,1.26265,0.3513,0.2968,0.3519,RFPL,12,14,7,6,7,3,16.1538,11.65
40,16180,1549269,184,194,2021-08-26 13:30:00,6,2021,1,2,FC Ufa,Krylya Sovetov Samara,1.49001,1.2839200000000002,0.4002,0.3166,0.2832,RFPL,21,8,3,2,9,3,17.6667,12.0
41,16183,1549265,183,236,2021-08-26 15:30:00,6,2021,1,2,Spartak Moscow,PFC Sochi,1.2674,1.01589,0.4025,0.3297,0.2678,RFPL,15,10,2,3,9,5,14.2778,12.0588
42,16178,1549268,188,200,2021-08-26 17:30:00,6,2021,2,1,FK Akhmat,Arsenal Tula,2.4422099999999998,1.00528,0.7509999999999999,0.1657,0.0833,RFPL,21,8,7,4,10,3,13.5333,4.0682
43,16179,1549264,189,185,2021-08-26 17:45:00,6,2021,1,0,Zenit St. Petersburg,CSKA Moscow,1.39361,0.43157299999999993,0.6449,0.2557,0.0994,RFPL,15,10,6,2,8,2,12.08,13.4444
44,16181,1549270,198,187,2021-08-27 13:30:00,6,2021,1,1,Ural,FC Rostov,1.24884,2.34081,0.1372,0.2011,0.6617,RFPL,10,14,3,7,9,7,14.8,7.9118
45,16177,1549271,257,263,2021-08-27 15:30:00,6,2021,1,1,Khimki,Nizhny Novgorod,2.1673,0.8877520000000001,0.7359,0.1714,0.0927,RFPL,12,13,4,3,4,5,13.6522,6.25
46,16176,1549267,190,192,2021-08-27 16:00:00,6,2021,1,1,Dinamo Moscow,Lokomotiv Moscow,1.8511900000000001,0.461417,0.7585,0.1859,0.0556,RFPL,24,6,4,3,5,4,12.9375,10.15
47,16182,1549266,196,186,2021-08-27 17:30:00,6,2021,2,0,FC Krasnodar,Rubin Kazan,1.64346,1.0449,0.5143,0.2678,0.2179,RFPL,13,15,7,7,12,0,22.5882,7.2222
